symbol,name,industry,listed_date
1101,台泥,水泥工業,1962/2/9
1102,亞泥,水泥工業,1962/6/8
1103,嘉泥,水泥工業,1969/11/14
1104,環泥,水泥工業,1971/2/1
1108,幸福,水泥工業,1990/6/6
1109,信大,水泥工業,1991/12/5
1110,東泥,水泥工業,1994/10/22
1201,味全,食品工業,1962/2/9
1203,味王,食品工業,1964/8/24
1210,大成,食品工業,1978/5/20
1213,大飲,食品工業,1981/4/10
1215,卜蜂,食品工業,1987/7/27
1216,統一,食品工業,1987/12/28
1217,愛之味,食品工業,1989/10/28
1218,泰山,食品工業,1989/11/11
1219,福壽,食品工業,1990/12/1
1220,台榮,食品工業,1991/11/20
1225,福懋油,食品工業,1993/9/27
1227,佳格,食品工業,1994/4/9
1229,聯華,食品工業,1976/7/19
1231,聯華食,食品工業,1995/11/2
1232,大統益,食品工業,1996/2/9
1233,天仁,食品工業,1999/1/20
1234,黑松,食品工業,1999/3/12
1235,興泰,食品工業,2000/9/11
1236,宏亞,食品工業,2001/9/17
1256,鮮活果汁-KY,食品工業,2016/3/17
1301,台塑,塑膠工業,1964/7/27
1303,南亞,塑膠工業,1967/11/5
1304,台聚,塑膠工業,1972/5/20
1305,華夏,塑膠工業,1973/3/5
1307,三芳,塑膠工業,1985/11/23
1308,亞聚,塑膠工業,1986/6/20
1309,台達化,塑膠工業,1986/6/27
1310,台苯,塑膠工業,1987/8/6
1312,國喬,塑膠工業,1988/12/21
1313,聯成,塑膠工業,1989/3/27
1314,中石化,塑膠工業,1991/7/12
1315,達新,塑膠工業,1992/5/9
1316,上曜,建材營造業,1992/10/15
1319,東陽,汽車工業,1994/12/12
1321,大洋,塑膠工業,1999/1/26
1323,永裕,塑膠工業,2000/9/11
1324,地球,塑膠工業,2000/9/11
1325,恆大,塑膠工業,2000/9/11
1326,台化,塑膠工業,1984/12/20
1337,再生-KY,塑膠工業,2011/7/1
1338,廣華-KY,汽車工業,2012/12/19
1339,昭輝,汽車工業,2012/4/24
1340,勝悅-KY,塑膠工業,2013/12/6
1341,富林-KY,塑膠工業,2018/12/24
1342,八貫,其他業,2020/11/24
1402,遠東新,紡織纖維,1967/4/14
1409,新纖,紡織纖維,1973/8/31
1410,南染,紡織纖維,1973/10/18
1413,宏洲,紡織纖維,1975/12/23
1414,東和,紡織纖維,1976/2/2
1416,廣豐,其他業,1976/4/20
1417,嘉裕,紡織纖維,1976/12/28
1418,東華,紡織纖維,1977/2/14
1419,新紡,紡織纖維,1977/3/14
1423,利華,紡織纖維,1979/4/2
1432,大魯閣,貿易百貨業,1982/7/26
1434,福懋,紡織纖維,1985/12/24
1435,中福,其他業,1987/12/28
1436,華友聯,建材營造業,1988/4/11
1437,勤益控,其他業,1988/11/10
1438,三地開發,建材營造業,1988/12/15
1439,中和,紡織纖維,1989/5/22
1440,南紡,紡織纖維,1989/10/3
1441,大東,紡織纖維,1989/10/27
1442,名軒,建材營造業,1989/11/16
1443,立益,紡織纖維,1990/4/21
1444,力麗,紡織纖維,1990/8/8
1445,大宇,紡織纖維,1991/2/5
1446,宏和,紡織纖維,1991/10/15
1447,力鵬,紡織纖維,1992/1/28
1449,佳和,紡織纖維,1992/3/12
1451,年興,紡織纖維,1992/12/21
1452,宏益,紡織纖維,1992/12/28
1453,大將,紡織纖維,1993/4/19
1454,台富,紡織纖維,1993/5/7
1455,集盛,紡織纖維,1993/10/7
1456,怡華,紡織纖維,1993/12/9
1457,宜進,紡織纖維,1994/10/20
1459,聯發,紡織纖維,1994/10/26
1460,宏遠,紡織纖維,1995/4/28
1463,強盛,紡織纖維,1996/12/5
1464,得力,紡織纖維,1997/1/18
1465,偉全,紡織纖維,1997/9/8
1466,聚隆,紡織纖維,1998/4/4
1467,南緯,紡織纖維,1998/12/21
1468,昶和,紡織纖維,1999/1/21
1470,大統新創,紡織纖維,1999/5/21
1471,首利,電子零組件業,2000/3/6
1472,三洋紡,紡織纖維,2000/9/11
1473,台南,紡織纖維,2000/9/11
1474,弘裕,紡織纖維,2000/10/31
1475,業旺,紡織纖維,2000/10/27
1476,儒鴻,紡織纖維,2001/4/18
1477,聚陽,紡織纖維,2003/1/21
1503,士電,電機機械,1969/12/15
1504,東元,電機機械,1973/11/5
1506,正道,電機機械,1980/8/11
1507,永大,電機機械,1989/11/9
1512,瑞利,汽車工業,1994/1/28
1513,中興電,電機機械,1994/3/8
1514,亞力,電機機械,1994/3/26
1515,力山,電機機械,1995/2/4
1516,川飛,其他業,1995/4/1
1517,利奇,電機機械,1995/11/14
1519,華城,電機機械,1997/4/16
1521,大億,汽車工業,1997/10/6
1522,堤維西,汽車工業,1997/10/6
1524,耿鼎,汽車工業,1998/10/30
1525,江申,汽車工業,1999/5/15
1526,日馳,電機機械,2000/3/27
1527,鑽全,電機機械,2000/6/21
1528,恩德,電機機械,2000/9/11
1529,樂士,電機機械,2000/9/11
1530,亞崴,電機機械,2000/9/11
1531,高林股,電機機械,2000/9/11
1532,勤美,電機機械,2000/9/11
1533,車王電,汽車工業,2001/4/6
1535,中宇,電機機械,2001/9/17
1536,和大,汽車工業,2001/9/17
1537,廣隆,電機機械,2002/1/22
1538,正峰,電機機械,2002/8/26
1539,巨庭,電機機械,2002/10/29
1540,喬福,電機機械,2002/8/26
1541,錩泰,電機機械,2003/3/19
1558,伸興,電機機械,2014/12/23
1560,中砂,電機機械,2005/1/31
1568,倉佑,汽車工業,2014/5/14
1582,信錦,電子零組件業,2009/12/17
1583,程泰,電機機械,2008/1/24
1587,吉茂,汽車工業,2018/4/16
1589,永冠-KY,電機機械,2012/4/27
1590,亞德客-KY,電機機械,2010/12/13
1592,英瑞-KY,汽車工業,2014/10/16
1597,直得,電機機械,2020/12/23
1598,岱宇,生技醫療業,2016/9/20
1603,華電,電器電纜,1968/6/3
1604,聲寶,電器電纜,1970/12/14
1605,華新,電器電纜,1972/11/3
1608,華榮,電器電纜,1988/7/11
1609,大亞,電器電纜,1988/12/12
1611,中電,電器電纜,1990/1/16
1612,宏泰,電器電纜,1993/5/8
1614,三洋電,電器電纜,1997/9/18
1615,大山,電器電纜,2000/3/30
1616,億泰,電器電纜,2000/9/11
1617,榮星,電器電纜,2000/9/11
1618,合機,電器電纜,2000/9/11
1626,艾美特-KY,電器電纜,2013/3/21
1701,中化,生技醫療業,1962/2/9
1702,南僑,食品工業,1973/5/30
1707,葡萄王,生技醫療業,1982/12/20
1708,東鹼,化學工業,1986/6/16
1709,和益,化學工業,1986/7/3
1710,東聯,化學工業,1987/10/21
1711,永光,化學工業,1988/12/27
1712,興農,化學工業,1989/12/14
1713,國化,化學工業,1990/1/31
1714,和桐,化學工業,1991/8/30
1717,長興,化學工業,1994/3/31
1718,中纖,化學工業,1963/12/2
1720,生達,生技醫療業,1995/12/12
1721,三晃,化學工業,1996/5/16
1722,台肥,化學工業,1998/3/24
1723,中碳,化學工業,1998/11/27
1724,台硝,化學工業,1995/3/30
1725,元禎,化學工業,2000/9/11
1726,永記,化學工業,2000/9/11
1727,中華化,化學工業,2000/9/11
1730,花仙子,化學工業,2001/9/17
1731,美吾華,生技醫療業,2001/9/17
1732,毛寶,化學工業,2001/9/17
1733,五鼎,生技醫療業,2001/9/17
1734,杏輝,生技醫療業,2002/8/26
1735,日勝化,化學工業,2002/8/26
1736,喬山,生技醫療業,2003/1/9
1737,臺鹽,食品工業,2003/11/18
1760,寶齡富錦,生技醫療業,2018/1/23
1762,中化生,生技醫療業,2010/12/20
1773,勝一,化學工業,2009/2/27
1776,展宇,化學工業,2016/5/9
1783,和康生,生技醫療業,2013/12/20
1786,科妍,生技醫療業,2013/11/12
1789,神隆,生技醫療業,2011/9/29
1795,美時,生技醫療業,2019/12/16
1802,台玻,玻璃陶瓷,1973/7/20
1805,寶徠,建材營造業,1989/10/20
1806,冠軍,玻璃陶瓷,1992/9/29
1808,潤隆,建材營造業,1994/10/26
1809,中釉,玻璃陶瓷,1996/4/30
1810,和成,玻璃陶瓷,1991/10/14
1817,凱撒衛,玻璃陶瓷,2013/10/24
1903,士紙,造紙工業,1963/12/9
1904,正隆,造紙工業,1971/9/10
1905,華紙,造紙工業,1975/2/7
1906,寶隆,造紙工業,1976/4/26
1907,永豐餘,造紙工業,1977/2/22
1909,榮成,造紙工業,1985/11/19
2002,中鋼,鋼鐵工業,1974/12/26
2006,東和鋼鐵,鋼鐵工業,1988/7/13
2007,燁興,鋼鐵工業,1988/10/4
2008,高興昌,鋼鐵工業,1988/12/28
2009,第一銅,鋼鐵工業,1989/10/20
2010,春源,鋼鐵工業,1989/12/22
2012,春雨,鋼鐵工業,1991/10/17
2013,中鋼構,鋼鐵工業,1992/1/21
2014,中鴻,鋼鐵工業,1992/2/20
2015,豐興,鋼鐵工業,1992/5/25
2017,官田鋼,鋼鐵工業,1992/11/2
