symbol,name,shares,volume,open,high,low,close,ret
1101,台泥,29217416,1515662783,53.9,53.9,50.8,51.2,0.004
1102,亞泥,17140497,883820108,54,54,50.1,50.6,0.005
1103,嘉泥,1490764,32132929,21.6,21.8,21.2,21.7,0.005
1104,環泥,804577,17983730,22.45,22.75,22.1,22.35,0.0035
1108,幸福,3328084,46897607,13.7,14.5,13.6,14.25,0.007
1109,信大,990256,25821414,25.55,26.3,25.55,26.1,0.0085
1110,東泥,163000,2641750,16,16.4,15.95,16.15,0.0015
1201,味全,2424299,52040707,21.35,21.75,21.25,21.6,0.0045
1203,味王,83760,3003759,35.4,36.45,35.4,35.9,0.0045
1210,大成,2219070,126232492,57.4,57.5,56.5,56.9,0
1213,大飲,32701,261178,7.8,8.36,7.79,8.36,0.0034
1215,卜蜂,667524,51501679,77,77.5,76.9,77.4,0.005
1216,統一,8681137,650595765,75,76,74.1,75,0.005
1217,愛之味,37126987,482501064,13.4,13.5,12.65,12.9,-0.002
1218,泰山,1929132,56198217,29.4,29.7,28.9,29.15,0.0005
1219,福壽,2680563,60956816,22.7,23.2,22.35,23.05,0.0075
1220,台榮,1122064,17894679,16.1,16.2,15.65,16.05,0.0015
1225,福懋油,371612,16040777,43.1,44.4,42,43.6,0.006
1227,佳格,1310389,68367606,52.5,52.9,51.9,52.2,0.002
1229,聯華,1342886,63716278,47.45,47.85,47.05,47.65,0.0065
1231,聯華食,480709,28635861,60.2,60.2,59.3,59.6,0.002
1232,大統益,130814,21034642,161,162,159.5,161,0.02
1233,天仁,7085,245408,34.8,34.8,34.5,34.5,-0.004
1234,黑松,159862,5581853,34.6,35.1,34.6,34.85,0.003
1235,興泰,7000,227250,32.55,32.55,32.45,32.45,0
1236,宏亞,235267,3784224,16.45,16.5,15.7,16.1,-0.002
1256,鮮活果汁-KY,16303,7109924,436,439,430,437,0.09
1301,台塑,6506952,638064046,97.3,99.5,96.5,98.1,0.013
1303,南亞,5910059,485416369,82,83.6,81,82.4,0.009
1304,台聚,10453096,325308877,30.9,31.8,30.4,31.55,0.0115
1305,華夏,11702856,374532201,31.6,32.6,31.2,32.25,0.014
1307,三芳,377707,7929325,20.6,21.5,20.6,21.05,0.005
1308,亞聚,9423979,259175017,27.65,27.95,26.9,27.85,0.01
1309,台達化,11079376,422754777,36.9,39.35,36.7,39,0.027
1310,台苯,3053606,56512820,18.5,18.75,18.2,18.6,0.0045
1312,國喬,20068746,494226760,24.8,25,24.2,24.8,0.008
1313,聯成,18464811,415617202,22.8,23.1,22,22.8,0.0045
1314,中石化,74747781,909400322,12.35,12.45,11.85,12.2,0.002
1315,達新,90500,6352363,70,70.4,70,70.2,0.005
1316,上曜,525009,5792392,11.05,11.25,10.95,11,0.001
